"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R5";"R_0805_2012Metric";1;"100";;;
2;"Q2,Q1";"SOT-23";2;"2N7002";;;
3;"D5,D9,D11,D10,D8,D12";"LED_0603_1608Metric";6;"LED";;;
4;"C18,C16,C20,C17,C15";"C_0805_2012Metric";5;"10uF";;;
5;"R15,R31,R3,R16,R32,R2,R33";"R_0402_1005Metric";7;"1k";;;
6;"SW3,SW5,SW4";"SW_SPDT_PCM12";3;"SW_SPDT";;;
7;"C21,C19";"C_0805_2012Metric";2;"100n";;;
8;"D4";"LED_D5.0mm_IRGrey";1;"IRLED";;;
9;"R13,R14";"R_0805_2012Metric";2;"1K";;;
10;"R25,R26,R20";"R_0805_2012Metric";3;"100k";;;
11;"R34,R1,R4,R35";"R_0402_1005Metric";4;"10k";;;
12;"C10,C1,C9,C23,C7,C11,C22,C8,C4,C6,C5,C14";"C_0402_1005Metric";12;"100nF";;;
13;"SW1,SW2,SW7,SW6";"SW_SPST_TL3305A";4;"SW_Push";;;
14;"R30,R29";"R_0402_1005Metric";2;"27R";;;
15;"D2,D3,D1";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";3;"WS2812B";;;
16;"C12,C13";"C_0402_1005Metric";2;"8pF";;;
17;"R23,R22,R19";"R_0805_2012Metric";3;"1k";;;
18;"U3";"OPTO-SMD_IRM-V838M3-C-TR1";1;"~";;;
19;"J1";"JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal";1;"Battery";;;
20;"C3,C2";"C_0402_1005Metric";2;"1uF";;;
21;"U5";"SOT-23-5";1;"SY6280AAC";;;
22;"TP1";"TestPoint_Pad_D1.0mm";1;"SWCLK";;;
23;"D6,D7";"D_SOD-323";2;"NSR0320MW2T1G";;;
24;"Q3";"SOT-23";1;"AP2302B";;;
25;"TP2";"TestPoint_Pad_D1.0mm";1;"SWD";;;
26;"R10,R11,R7,R9,R8";"R_0805_2012Metric";5;"10K";;;
27;"U6";"SOT-23-5";1;"XT4054K421MR-G";;;
28;"S1";"SW-SMD_TM-1011A";1;"Wobble Switch";;;
29;"J2";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0";;;
30;"R18,R21,R17";"R_0805_2012Metric";3;"4.7k";;;
31;"J3";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
32;"U1";"RP2040-QFN-56";1;"RP2040";;;
33;"R28,R27";"R_0402_1005Metric";2;"5.1k";;;
34;"U4";"SOT-23-5";1;"TLV70233_SOT23-5";;;
35;"R6,R24";"R_0805_2012Metric";2;"10k";;;
36;"U2";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q128JV";;;
37;"M1";"PinHeader_1x02_P2.54mm_Vertical";1;"Motor_DC";;;
38;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"Crystal_GND24";;;
39;"R12";"R_0805_2012Metric";1;"20";;;
40;"JP3";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"Bodge in case battery doesn't charge";;;
