Designator,Mid X,Mid Y,Rotation,Layer
C1,210.252,-43.942,270.0,top
C10,203.45,-54.85,90.0,top
C11,197.485,-33.655,180.0,top
C12,203.835,-57.785,90.0,top
C13,210.185,-58.42,270.0,top
C14,185.9,-41.1,90.0,top
C15,142.875,-57.658,0.0,top
C16,229.87,-51.816,270.0,top
C17,230.378,-61.341,0.0,top
C18,223.266,-47.498,0.0,top
C19,222.08,-53.2,0.0,top
C2,211.268,-43.942,270.0,top
C20,219.71,-47.498,0.0,top
C21,216.916,-46.482,0.0,top
C22,167.64,-50.8,90.0,top
C23,182.626,-51.308,180.0,top
C24,235.204,-61.656,90.0,top
C3,212.284,-43.942,270.0,top
C4,213.3,-43.942,90.0,top
C5,213.106,-50.546,0.0,top
C6,205.105,-36.195,0.0,top
C7,200.66,-50.8,180.0,top
C8,212.09,-58.674,0.0,top
C9,201.93,-46.355,0.0,top
D1,179.705,-39.37,0.0,top
D10,173.355,-56.515,90.0,top
D11,175.26,-56.515,90.0,top
D12,177.165,-56.515,90.0,top
D13,234.95,-68.58,270.0,top
D2,167.64,-40.64,15.0,top
D3,155.575,-45.085,30.0,top
D5,146.05,-54.61,180.0,top
D6,230.124,-48.768,0.0,top
D7,233.426,-48.768,180.0,top
D8,169.495,-56.515,90.0,top
D9,171.45,-56.515,90.0,top
J1,218.694,-41.91,90.0,top
J2,256.794,-128.524,340.0,top
M1,231.775,-68.58,0.0,top
Q1,227.838,-66.548,180.0,top
Q2,151.765,-53.975,180.0,top
Q3,232.664,-55.626,180.0,top
R1,197.485,-34.925,180.0,top
R10,172.085,-34.29,195.0,top
R11,158.115,-37.465,210.0,top
R12,228.092,-69.342,0.0,top
R13,145.415,-51.435,0.0,top
R14,145.415,-52.705,0.0,top
R15,169.545,-59.055,90.0,top
R16,171.45,-59.055,90.0,top
R17,232.664,-50.8,180.0,top
R18,232.664,-52.832,180.0,top
R19,235.585,-54.991,0.0,top
R2,210.185,-56.515,270.0,top
R20,235.585,-56.134,180.0,top
R21,225.409999,-54.2,180.0,top
R22,224.2,-49.5,180.0,top
R23,223.8,-51.4,270.0,top
R24,217.424,-49.784,180.0,top
R25,216.916,-47.498,0.0,top
R26,216.916,-48.514,180.0,top
R27,257.048,-121.412,270.0,top
R28,260.858,-122.936,90.0,top
R29,208.788,-43.942,90.0,top
R3,197.485,-36.195,0.0,top
R30,207.772,-43.942,90.0,top
R31,173.355,-59.055,90.0,top
R32,175.26,-59.055,90.0,top
R33,177.165,-59.055,90.0,top
R34,163.83,-50.8,270.0,top
R35,179.578,-51.308,180.0,top
R36,224.79,-64.262,0.0,top
R37,224.79,-66.548,90.0,top
R38,154.94,-51.435,0.0,top
R39,151.765,-50.8,0.0,top
R4,185.42,-43.18,0.0,top
R5,142.875,-59.69,180.0,top
R6,142.875,-61.595,0.0,top
R7,213.614,-59.182,270.0,top
R8,216.662,-59.182,270.0,top
R9,219.71,-59.182,270.0,top
S1,215.9,-64.77,180.0,top
SW1,191.135,-41.91,0.0,top
SW2,191.135,-34.925,0.0,top
SW3,165.735,-34.29,195.0,top
SW4,152.4,-39.37,210.0,top
SW5,230.124,-75.184,320.0,top
SW6,165.735,-56.515,90.0,top
SW7,180.975,-56.515,90.0,top
U1,207.01,-49.525,0.0,top
U2,201.295,-40.005,270.0,top
U3,138.9,-60.325,285.0,top
U4,228.346,-58.293,0.0,top
U5,226.568,-51.816,180.0,top
U6,220.98,-50.8,180.0,top
Y1,207.01,-57.785,0.0,top
